ID,Date,Username,Tweet,ReplyCount,RetweetCount,LikeCount,QuoteCount,cleanTweet,year,month,day,hour,Subjectivity,Polarity,SentimentResult1,SentimentResult2,label1,label2,label3,label4
1638329621581275136,2023-03-21 23:59:55+00:00,yxwec12342,"of the Atlantic, or only near the Atla #æ¨ç¹è´¦å· more to me than the greenness or th ",0,0,0,0,of the atlant or onli near the atla more to me than the green or th,2023,3,21,23,0.4,0.1333333333,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
1638329564312264704,2023-03-21 23:59:41+00:00,xfcfc69355," Copilot has actually been useful for me though, it routinely writes chunks of code for me that require little to no modification. I haven't figured out how to leverage ChatGPT effectively yet.",0,0,2,0,copilot ha actual been use for me though it routin write chunk of code for me that requir littl to no modif i haven t figur out how to leverag chatgpt effect yet,2023,3,21,23,0.1,0,Neutral,Negative,Negative,Negative,Neutral,Neutral
1638329556074475521,2023-03-21 23:59:39+00:00,cjxpg99081,i had chatgpt analyze my ocs after askin a bunch of questions and it was really fun in the moment but i literally have nothing i can do with all these answers besides think about them bc who wants to hear character analysis on characters you cant even see,2,0,0,0,i had chatgpt analyz my oc after askin a bunch of question and it wa realli fun in the moment but i liter have noth i can do with all these answer besid think about them bc who want to hear charact analysi on charact you cant even see,2023,3,21,23,0.2,0.3,Positive,Negative,Negative,Positive,Negative,Positive
1638329552861556740,2023-03-21 23:59:38+00:00,kkcju69991," You are a smart guy Mark.  You should be able to recognize ChatGPT is brought to you by the same MONORAIL! salesmen who sold you Crypto, self driving, and NFTs. The technology is not what they claim it is.  You can tell by how the use case is ""writing"" poems abt your pets.",0,0,0,0,you are a smart guy mark you should be abl to recogn chatgpt is brought to you by the same monorail salesman who sold you crypto self drive and nfts the technolog is not what they claim it is you can tell by how the use case is write poem abt your pet,2023,3,21,23,0.3839285714,0.1071428571,Positive,Neutral,Negative,Neutral,Neutral,Positive
1638329474629640195,2023-03-21 23:59:20+00:00,vyuxa61547,"Thanks to ChatGPT, we are one step closer to getting the Giuseppi Stromboli and the Briefcase of Meatballs rewrite we deserve ",0,1,0,0,thank to chatgpt we are one step closer to get the giuseppi stromboli and the briefcas of meatbal rewrit we deserv,2023,3,21,23,0,0,Neutral,Positive,Positive,Positive,Positive,Positive
1638329441544708097,2023-03-21 23:59:12+00:00,ohbpz29878,"Heard someone say âChatGPT is already replacing software engineers.â 

Iâm tired of yâall.",2,0,4,0,heard someon say chatgpt is alreadi replac softwar engin im tire of yall,2023,3,21,23,0,0,Neutral,Negative,Positive,Negative,Negative,Positive
1638329420816457730,2023-03-21 23:59:07+00:00,muleb09161," Unlikely, ChatGPT is usually coherent and well-constructed",0,0,0,0,unlik chatgpt is usual coher and well construct,2023,3,21,23,0.25,-0.25,Negative,Neutral,Negative,Negative,Negative,Negative
1638329400960892928,2023-03-21 23:59:02+00:00,bwgto94705,"There is going to be a anti-GPT movement.

#ChatGPT",1,0,0,0,there is go to be a anti gpt movement,2023,3,21,23,0,0,Neutral,Negative,Negative,Negative,Negative,Negative
1638329399798906882,2023-03-21 23:59:02+00:00,xcphj10751,"I am enamored by ChatGPT. It changed in one day what I can do, what I can know",1,0,0,0,i am enamor by chatgpt it chang in one day what i can do what i can know,2023,3,21,23,0,0,Neutral,Positive,Positive,Positive,Postive,Positive
1638329361022476289,2023-03-21 23:58:53+00:00,axbwk94624,"Hi for anyone having issues with #Chatgpthistory here is a fix that temporarily will restore it for you

1) Open the ChatGPT app on Chrome

2) Click on three dots at top right then on More tools then developer tools as below",3,0,8,0,hi for anyon have issu with here is a fix that temporarili will restor it for you 1 open the chatgpt app on chrome 2 click on three dot at top right then on more tool then develop tool a below,2023,3,21,23,0.5089285714,0.3214285714,Positive,Neutral,Positive,Neutral,Neutral,Neutral
1638329336829984768,2023-03-21 23:58:47+00:00,ibjwq58890,Finally tried ChatGPT. I was disappointed in how unconvincing it was on LORs.,1,0,0,0,final tri chatgpt i wa disappoint in how unconvinc it wa on lor,2023,3,21,23,1,0,Neutral,Negative,Negative,Negative,Negative,Negative
1638329289929097216,2023-03-21 23:58:36+00:00,hmhuq80017,Congratulations ð,0,0,0,0,congratul,2023,3,21,23,0,0,Neutral,Positive,Neutral,Positive,Postive,Postive
1638329252729745413,2023-03-21 23:58:27+00:00,rwgiu22499,Time to gaslight chatgpt,0,0,3,0,time to gaslight chatgpt,2023,3,21,23,0,0,Neutral,Negative,Negative,Neutral,Neutral,Negative
1638329243255054338,2023-03-21 23:58:24+00:00,vuwpi39741,"  nice, I didnt see this list before. Is there anyway to intercept the response, to give a hint? Very much like building a consultant to chatgpt.",0,0,0,0,nice i didnt see this list befor is there anyway to intercept the respons to give a hint veri much like build a consult to chatgpt,2023,3,21,23,0.6,0.4,Positive,Neutral,Positive,Neutral,Neutral,Neutral
1638329191224492032,2023-03-21 23:58:12+00:00,bxiow43283,A Brave New World: ChatGPTâs Potential To Reshape The Financial Services Landscape,1,0,0,0,a brave new world chatgpt potenti to reshap the financi servic landscap,2023,3,21,23,0.7272727273,0.4681818182,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
